year,postal_code,area_name,municipality,building_type,price_eur_per_sqm,n_sales
2009,00100,Helsinki keskusta - Etu-Töölö,Helsinki,"Blocks of flats, one-room flat",4817.0,116.0
2009,00100,Helsinki keskusta - Etu-Töölö,Helsinki,"Blocks of flats, three-room flat+",4234.0,122.0
2009,00100,Helsinki keskusta - Etu-Töölö,Helsinki,"Blocks of flats, two-room flat",4470.0,167.0
2009,00120,Punavuori - Bulevardi,Helsinki,"Blocks of flats, one-room flat",5040.0,51.0
2009,00120,Punavuori - Bulevardi,Helsinki,"Blocks of flats, three-room flat+",5122.0,60.0
2009,00120,Punavuori - Bulevardi,Helsinki,"Blocks of flats, two-room flat",5044.0,70.0
2009,00130,Kaartinkaupunki,Helsinki,"Blocks of flats, one-room flat",5436.0,11.0
2009,00130,Kaartinkaupunki,Helsinki,"Blocks of flats, three-room flat+",5209.0,14.0
2009,00130,Kaartinkaupunki,Helsinki,"Blocks of flats, two-room flat",5333.0,11.0
2009,00140,Kaivopuisto - Ullanlinna,Helsinki,"Blocks of flats, one-room flat",5390.0,98.0
2009,00140,Kaivopuisto - Ullanlinna,Helsinki,"Blocks of flats, three-room flat+",5421.0,57.0
2009,00140,Kaivopuisto - Ullanlinna,Helsinki,"Blocks of flats, two-room flat",5060.0,88.0
2009,00150,Punavuori - Eira - Hernesaari,Helsinki,"Blocks of flats, one-room flat",4906.0,174.0
2009,00150,Punavuori - Eira - Hernesaari,Helsinki,"Blocks of flats, three-room flat+",5422.0,61.0
2009,00150,Punavuori - Eira - Hernesaari,Helsinki,"Blocks of flats, two-room flat",4811.0,118.0
2009,00160,Katajanokka,Helsinki,"Blocks of flats, one-room flat",4838.0,14.0
2009,00160,Katajanokka,Helsinki,"Blocks of flats, three-room flat+",5184.0,44.0
2009,00160,Katajanokka,Helsinki,"Blocks of flats, two-room flat",4943.0,24.0
2009,00170,Kruununhaka,Helsinki,"Blocks of flats, one-room flat",4891.0,68.0
2009,00170,Kruununhaka,Helsinki,"Blocks of flats, three-room flat+",4823.0,65.0
2009,00170,Kruununhaka,Helsinki,"Blocks of flats, two-room flat",4575.0,71.0
2009,00180,Kamppi - Ruoholahti,Helsinki,"Blocks of flats, one-room flat",4879.0,103.0
2009,00180,Kamppi - Ruoholahti,Helsinki,"Blocks of flats, three-room flat+",4436.0,60.0
2009,00180,Kamppi - Ruoholahti,Helsinki,"Blocks of flats, two-room flat",4564.0,107.0
2009,00200,Pohjois-Lauttasaari,Helsinki,"Blocks of flats, one-room flat",4082.0,114.0
2009,00200,Pohjois-Lauttasaari,Helsinki,"Blocks of flats, three-room flat+",3724.0,153.0
2009,00200,Pohjois-Lauttasaari,Helsinki,"Blocks of flats, two-room flat",3616.0,200.0
2009,00200,Pohjois-Lauttasaari,Helsinki,Terraced houses total,5341.0,8.0
