,log_diff_vs_helsinki,pct_diff_vs_helsinki
Kauniainen,-0.12160848149391075,-11.450501168086069
Espoo,-0.23027476273899125,-20.568467573677363
Vantaa,-0.47170855517508364,-37.60646708554724
Tampere,-0.5399784841372149,-41.72392091596866
Sipoo,-0.5567937537003844,-42.6956560044562
Porvoo,-0.5626116658563409,-43.02807970038751
Järvenpää,-0.5711029993927087,-43.5097991631066
Kerava,-0.6105877114532517,-45.69683706347839
Pirkkala,-0.6166849857340945,-46.02693098298576
Kirkkonummi,-0.6212348243748502,-46.27194193514597
Tuusula,-0.6382790224242466,-47.179933621335856
Turku,-0.670093055940881,-48.833903752114225
Nurmijärvi,-0.6903314003988281,-49.859012590321505
Kittilä,-0.7678994868178088,-53.601334447683925
Pornainen,-0.7783620353566045,-54.08425205848524
Vihti,-0.7799630330368061,-54.1577042503406
Naantali,-0.7805171159891668,-54.183097649238185
Kuopio,-0.787270958877027,-54.49149520273229
Lempäälä,-0.7939892629022789,-54.79621044275835
Kaarina,-0.7991874318988272,-55.030577712089176
Mäntsälä,-0.8113439049195238,-55.57393791759209
Hyvinkää,-0.8116352237639534,-55.586878181697585
Ylöjärvi,-0.8189207430640261,-55.9092749977337
Kangasala,-0.8217966673163475,-56.03589442186201
Rusko,-0.8273135874678154,-56.2777730558196
Vaasa,-0.8320070187607815,-56.48249951336196
Lieto,-0.8500904547892858,-57.262372803036385
Hämeenlinna,-0.8528513163722315,-57.380202745185294
Jyväskylä,-0.8547366087381782,-57.46047782880983
Joensuu,-0.8551151626703282,-57.47657828456183
Seinäjoki,-0.8614478144040006,-57.745013454511906
Lohja,-0.8617988368613023,-57.75984330076555
Askola,-0.8633184299463539,-57.823982405784655
Oulu,-0.8667643798861864,-57.96906872740541
Masku,-0.8713754106891722,-58.16242850963075
Kolari,-0.874028212834785,-58.27326822612719
Larsmo,-0.8765700599365639,-58.379196514563404
Nokia,-0.8797873240171888,-58.51288645738202
Lappeenranta,-0.8803628244889031,-58.53675544183117
Ingå,-0.8811349119848869,-58.56875633916141
Siuntio,-0.8857754974308905,-58.76057614317132
Vesilahti,-0.9028366211854104,-59.45819902000349
Kokkola,-0.9143531660443993,-59.92242223506648
Mikkeli,-0.9269067175184728,-60.42239339770887
Raisio,-0.9376239728368133,-60.84429187744313
Kempele,-0.937808763683763,-60.85152682541335
Hattula,-0.9403341281706504,-60.95026626027757
Korsholm,-0.9433305248537274,-61.06709962596098
Lahti,-0.9440382384143493,-61.09464321987295
Hanko,-0.9540469446257233,-61.48209333438004
Rovaniemi,-0.9619175406487716,-61.78406232062778
Raasepori,-0.9764661270859002,-62.33602531681613
Kontiolahti,-0.9778711979064597,-62.38890870747489
Riihimäki,-0.9918596943355145,-62.91136859014599
Siilinjärvi,-1.002684162364859,-63.31066829286942
Muurame,-1.0118584862113083,-63.64572877684932
Taipalsaari,-1.047709383412878,-64.9259758926455
Nousiainen,-1.054118078557001,-65.15003588765569
Loviisa,-1.0607870723853816,-65.38167681874249
Malax,-1.0644509875611308,-65.50828333899648
Inari,-1.0731784294498004,-65.80799801818036
Sotkamo,-1.0802154499567502,-66.04776323151509
Ilmajoki,-1.09214312264407,-66.45032879086052
Myrskylä,-1.096349068184128,-66.5911405499782
Korsnäs,-1.0994359844097858,-66.69411188658208
Rauma,-1.1069304386390622,-66.9427883295571
Pargas,-1.1118117278762956,-67.10375695427302
Ylivieska,-1.1225636391014011,-67.45555977366605
Pälkäne,-1.127833888521147,-67.62662591431639
Mynämäki,-1.1314523185651797,-67.7435550262492
Pori,-1.1366192797566825,-67.90979298322381
Aura,-1.1383851122494273,-67.96640891163845
Lapua,-1.1385950331563415,-67.97313272637211
Laihia,-1.139114955398687,-67.98977987903282
Kuusamo,-1.143615537521802,-68.13352080192678
Tornio,-1.1449147126155925,-68.17489405665734
Iisalmi,-1.1459587124835353,-68.20810212543351
