postal_code,log_diff_vs_ref,pct_diff_vs_ref,area_name
220,0.1721773632194232,18.78885022599601,Jätkäsaari
540,0.1480297702905775,15.954741591265309,Kalasatama - Sompasaari
130,0.13164061464163063,14.06982953276903,Kaartinkaupunki
140,0.11947891654159436,12.690948466749475,Kaivopuisto - Ullanlinna
580,0.07020752571879232,7.273077738185374,Kalasatama - Kyläsaari
120,0.05365980200556148,5.512558948142443,Punavuori - Bulevardi
150,0.04150768540621101,4.238117294343002,Punavuori - Eira - Hernesaari
160,0.0191330090196424,1.9317217985102664,Katajanokka
170,0.012470383888721062,1.2548463348603933,Kruununhaka
180,-0.009270245168716723,-0.9227408915688629,Kamppi - Ruoholahti
260,-0.043590375716099486,-4.265397065179933,Keski-Töölö
210,-0.10809210627291453,-10.245507689451316,Vattuniemi
250,-0.11907271589182977,-11.225675462692596,Taka-Töölö
330,-0.15671242015279852,-14.50501101733499,Munkkiniemi
270,-0.16124090988441236,-14.891298886582149,Pohjois-Meilahti
200,-0.18318562694996252,-16.73864141290742,Pohjois-Lauttasaari
590,-0.20211335625467677,-18.299768962902064,Kruunuvuorenranta
560,-0.2082166740707982,-18.79689284288062,Toukola - Kumpula - Vanhakaupunki
280,-0.219504788357164,-19.708368696625367,Ruskeasuo
300,-0.22249191709201502,-19.947852273448085,Pikku Huopalahti
530,-0.22616347655009036,-20.241229587876987,Kallio
510,-0.2629108385394683,-23.11895574827536,Alppila - Vallila
500,-0.26409531747055187,-23.209965814997435,Sörnäinen - Harju
520,-0.2805534525849451,-24.463443327902446,Itä- ja Keski-Pasila
2100,-0.2920624697821909,-25.327811303734027,Tapiola
570,-0.29516822227035455,-25.559364879402548,Kulosaari
610,-0.306100794017181,-26.36876001689633,Käpylä
550,-0.3180439590861739,-27.24291956360808,Vallila - Hermanni
810,-0.31816245292427114,-27.25154031855449,Herttoniemenranta
380,-0.31874429526339737,-27.29385614074108,Pitäjänmäen yritysalue
240,-0.32459076862971525,-27.717690498973337,Länsi-Pasila
2110,-0.34095542320277633,-28.890939435834518,Otsolahti
2250,-0.3466419825542763,-29.294157780068396,Henttaa
320,-0.357969414069481,-30.090554286598003,Etelä-Haaga
990,-0.36036240208304876,-30.257646747361054,Aurinkolahti
2120,-0.3833517505131054,-31.84268865763028,Länsikorkee-Suvikumpu
33180,-0.38393607929608065,-31.882503302863373,Lapinniemi-Käpylä
350,-0.38985838851475096,-32.28472396831332,Munkkivuori - Niemenmäki
2160,-0.4292753749066066,-34.90193592367531,Westend
800,-0.43138899940868786,-35.03938347951466,Länsi-Herttoniemi
340,-0.43200429668543633,-35.07934127573339,Kuusisaari - Lehtisaari
790,-0.4546742849954054,-36.53453491709461,Viikki
2150,-0.45484082151064154,-36.54510335444756,Otaniemi
2200,-0.4639862634812041,-37.122780845119586,Niittykumpu
2170,-0.4746577512552039,-37.79020677288365,Haukilahti
1340,-0.4965205732459955,-39.13552855663613,Leinelä
2390,-0.5099431749289961,-39.94702970142854,Sarvvik
310,-0.5102425179901415,-39.96500345109576,Kivihaka
2680,-0.5132303516143892,-40.144110328398185,Uusmäki
2600,-0.5146422221114769,-40.22855946345306,Etelä-Leppävaara
400,-0.5173624413761027,-40.39092994569516,Pohjois-Haaga
2130,-0.5219827010030031,-40.66570407276574,Pohjois-Tapiola
1510,-0.5465602241475938,-42.106219442495615,Kirkonkylä-Veromäki
2230,-0.5472159419985431,-42.14416898441032,Matinkylä
360,-0.5604387044627445,-42.90414731567862,Pajamäki
2700,-0.5626050881287749,-43.02770495338437,Kauniainen
2610,-0.5685928020823667,-43.36781948895929,Kilo
2650,-0.5697109812647511,-43.431109023145595,Pohjois-Leppävaara
2330,-0.5771887979476219,-43.85254315244052,Saunalahti-Kattilalaakso
1520,-0.583514016941476,-44.2065672925144,Tammisto
1700,-0.5846283953693829,-44.26870765996931,Kivistö
620,-0.5861400617789633,-44.35289113786346,Metsälä - Etelä-Oulunkylä
440,-0.5969252701408733,-44.94983194979048,Lassila
33100,-0.6092898062981013,-45.62631095015952,Tampere Keskus
850,-0.6154924039562739,-45.96252528748702,Jollas
1530,-0.6160169469308385,-45.99086283243088,Veromiehenkylä
33200,-0.6185148469425689,-46.12560390187603,Tampere Keskus Läntinen
33210,-0.6405231037325361,-47.29833324611899,Itä-Amuri-Tammerkoski
830,-0.6411144147739686,-47.329487111852316,Tammisalo
630,-0.6459192786478248,-47.58195473444597,Maunula
2750,-0.6482337557726096,-47.70313481278456,Sepänkylä-Kuurinniitty
640,-0.6489605706252898,-47.74113114133062,Oulunkylä - Patola
650,-0.6605935638290307,-48.34553587354337,Veräjämäki
840,-0.6637693279998929,-48.509318065520915,Yliskylä
820,-0.6703878075053131,-48.84898281663108,Roihuvuori
33230,-0.6728757114711855,-48.97608346248035,Länsi-Amuri
2240,-0.6797420612557018,-49.32523146288892,Friisilä
2180,-0.682666390035239,-49.4732046802974,Mankkaa
660,-0.6864779395651771,-49.665423504751075,Länsi-Pakila
670,-0.6916150194606269,-49.923333227108614,Paloheinä
910,-0.6936626453862665,-50.025766599857576,Puotila
370,-0.6936917476817231,-50.027220943600724,Reimarla
2660,-0.6940008340416721,-50.042664461162545,Lintuvaara
1640,-0.6985131469189406,-50.26757976389575,Hämevaara
430,-0.7065081887635513,-50.66360730680122,Maununneva - Kuninkaantammi
20520,-0.7101921726819682,-50.845027404532296,Kupittaa
1300,-0.7193220913113642,-51.291765858524215,Tikkurila
2820,-0.7219646682293631,-51.42031119351046,Nupuri-Nuuksio
390,-0.7247536148275465,-51.555608595036496,Konala
33870,-0.728203786154753,-51.722462043220304,Vuores
730,-0.7384089953721429,-52.21263898527746,Tapanila
950,-0.7415425856338467,-52.362150617944934,Vartioharju
2280,-0.744510860913707,-52.50334321573591,Malminmäki-Eestinlaakso
90400,-0.7448822566074779,-52.52097999421959,Äimärautio
600,-0.7457581497284888,-52.56254833386605,Koskela
980,-0.7460787800821502,-52.577755782655444,Etelä-Vuosaari
2630,-0.7493867371647898,-52.73436735629554,Nihtisilta
720,-0.7499707032803946,-52.76196082658211,Pukinmäki
700,-0.7507256771791148,-52.79761085407131,Malmi
33540,-0.7529196187717643,-52.90105662041267,Kaleva
20100,-0.753417735793213,-52.92451156366409,Turku Keskus
680,-0.756615455154584,-53.074805337759365,Itä-Pakila
33500,-0.7570949267568382,-53.097299243004834,Osmonmäki-Petsamo
2320,-0.7604744916006735,-53.255542414420695,Espoonlahti
930,-0.7629653497823397,-53.37183133931029,Itäkeskus - Marjaniemi
420,-0.7661014214070985,-53.51783156272396,Kannelmäki
20500,-0.7664852430115323,-53.535668999775275,Vesilinna
2210,-0.7738632381572784,-53.87722107421282,Olari
1690,-0.7748288015831387,-53.92173404913399,Ylästö
2140,-0.7756966261892775,-53.96170455593114,Laajalahti
20730,-0.7803420729068792,-54.175077015472084,Skanssi
2270,-0.7812130597821226,-54.214972545187145,Finnoo-Eestinmalmi
780,-0.7820098547411877,-54.25143929407361,Tapaninvainio
2300,-0.7872551400237812,-54.490775304679495,Nöykkiönpuro
870,-0.7925386788867207,-54.730590966408556,Gunillanmäki - Hevossalmi
20810,-0.7963576625297835,-54.90314439994979,Martti-Korppolaismäki
2740,-0.7985637149919312,-55.00252077423118,Bemböle-Pakankylä
20700,-0.8056028218048144,-55.31815065732,Vartiovuori-Samppalinna
2730,-0.8089426620938732,-55.467131972560125,Jupperi
2780,-0.8099661656342281,-55.512688203189796,Kauklahti
1610,-0.8116143128652924,-55.58594945369779,Kaivoksela
900,-0.8123777103909107,-55.619842091563584,Puotinharju
1370,-0.8134296554308015,-55.66650303186971,Jokiniemi
2260,-0.8145285220625494,-55.71519287563493,Kaitaa
2620,-0.8207576843739154,-55.99019272855834,Karakallio
690,-0.8212409293936489,-56.011455110857746,Torpparinmäki
2720,-0.8291113887259209,-56.35630631567814,Lähderanta
960,-0.8342626983040144,-56.58055042169392,Pohjois-Vuosaari
2340,-0.8362162382893261,-56.6652892552863,Latokaski
33250,-0.8404584788865723,-56.848736136455734,Pispala
2770,-0.8409509946309647,-56.86998358051909,Espoon Keskus
2940,-0.8421811894682185,-56.92300928138996,Lippajärvi-Järvenperä
2450,-0.8465076537803482,-57.108977761327864,Sundsberg
6100,-0.8504911538499677,-57.2794942995971,Porvoo Keskus
33900,-0.8537111987802195,-57.41683500710077,Härmälä-Rantaperkiö
